"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "Batch", "TypeScript JSX", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"c:\Code\2024\linlaw\.eslintrc.json", "JSON with Comments", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Code\2024\linlaw\README.md", "Markdown", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14
"c:\Code\2024\linlaw\cors.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Code\2024\linlaw\next.config.mjs", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Code\2024\linlaw\package-lock.json", "JSON", 8229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8230
"c:\Code\2024\linlaw\package.json", "JSON", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101
"c:\Code\2024\linlaw\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Code\2024\linlaw\public\images\googlec6edda4dd1f1d963.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\2024\linlaw\public\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Code\2024\linlaw\public\images\site.webmanifest", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Code\2024\linlaw\push_all.bat", "Batch", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Code\2024\linlaw\src\ThirdPartyServices\FirebaseService.ts", "TypeScript", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 18, 110
"c:\Code\2024\linlaw\src\ThirdPartyServices\PusherService.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 13, 92
"c:\Code\2024\linlaw\src\app\api\auth\login\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 14, 72
"c:\Code\2024\linlaw\src\app\api\auth\logout\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 2, 10, 59
"c:\Code\2024\linlaw\src\app\api\auth\refresh\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 1, 17, 119
"c:\Code\2024\linlaw\src\app\api\auth\signup\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 13, 72
"c:\Code\2024\linlaw\src\app\api\contact-us\route.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 2, 12, 64
"c:\Code\2024\linlaw\src\app\api\data\route.ts", "TypeScript", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 12, 107
"c:\Code\2024\linlaw\src\app\api\files\[id]\route.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Code\2024\linlaw\src\app\api\files\route.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Code\2024\linlaw\src\app\api\files\signedUrl\route.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 6, 37
