"filename", "language", "JSON", "JSON with Comments", "TypeScript", "HTML", "Batch", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Code\2024\linlaw\.eslintrc.json", "JSON with Comments", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Code\2024\linlaw\README.md", "Markdown", 0, 0, 0, 0, 0, 565, 0, 0, 0, 0, 0, 2, 567
"c:\Code\2024\linlaw\cors.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Code\2024\linlaw\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"c:\Code\2024\linlaw\package-lock.json", "JSON", 8271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8272
"c:\Code\2024\linlaw\package.json", "JSON", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102
"c:\Code\2024\linlaw\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 2, 10
"c:\Code\2024\linlaw\public\googlec6edda4dd1f1d963.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Code\2024\linlaw\public\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Code\2024\linlaw\public\site.webmanifest", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Code\2024\linlaw\push_all.bat", "Batch", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Code\2024\linlaw\src\ThirdPartyServices\FirebaseService.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 18, 110
"c:\Code\2024\linlaw\src\ThirdPartyServices\PusherService.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 13, 92
"c:\Code\2024\linlaw\src\app\[lang]\careers\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 3, 44, 306
"c:\Code\2024\linlaw\src\app\[lang]\careers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 10, 52
"c:\Code\2024\linlaw\src\app\[lang]\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 18, 93
"c:\Code\2024\linlaw\src\app\[lang]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 5, 26
"c:\Code\2024\linlaw\src\app\[lang]\login\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 15, 115
"c:\Code\2024\linlaw\src\app\[lang]\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Code\2024\linlaw\src\app\[lang]\newsletters\[id]\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 383, 0, 0, 0, 52, 435
"c:\Code\2024\linlaw\src\app\[lang]\newsletters\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 1, 21, 106
"c:\Code\2024\linlaw\src\app\[lang]\newsletters\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 37, 297
"c:\Code\2024\linlaw\src\app\[lang]\newsletters\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 10, 51
"c:\Code\2024\linlaw\src\app\[lang]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 18, 95
"c:\Code\2024\linlaw\src\app\[lang]\profile\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 11, 86
"c:\Code\2024\linlaw\src\app\[lang]\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Code\2024\linlaw\src\app\[lang]\related-businesses\[slug]\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 456, 0, 0, 2, 57, 515
"c:\Code\2024\linlaw\src\app\[lang]\related-businesses\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 2, 12, 67
"c:\Code\2024\linlaw\src\app\[lang]\related-businesses\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 28, 148
"c:\Code\2024\linlaw\src\app\[lang]\related-businesses\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 10, 52
"c:\Code\2024\linlaw\src\app\[lang]\signup\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 14, 135
"c:\Code\2024\linlaw\src\app\[lang]\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Code\2024\linlaw\src\app\[lang]\team-members\[id]\content.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 5, 13, 117
"c:\Code\2024\linlaw\src\app\[lang]\team-members\[id]\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 22, 121
"c:\Code\2024\linlaw\src\app\[lang]\team-members\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 13, 60
"c:\Code\2024\linlaw\src\app\[lang]\team-members\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 23, 227
"c:\Code\2024\linlaw\src\app\[lang]\team-members\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 10, 52
